Studentennummer, Minor1, Minor2, Minor3, Minor4, Minor5, Minor6, Minor7
"2570,Minor Crossmedia,Minor Art\'n\'Sound,Minor Art \'n\' Sound,,,,,"
"2717,Minor Crossmedia,Minor Art\'n\'sound,,,,,,"
"820,Minor Crossmedia,Minor Concepting,Minor Art \'n\' Sound,,,,,"
"2852,Minor Crossmedia,Minor Concepting,Minor Art \'n\' Sound,,,,,"
"2459,Minor Crossmedia,Minor Concepting,Minor Concepting,Minor Art \'n\' Sound,,,,"
"2910,Minor Crossmedia,Minor Concepting,Minor Concepting,Minor Art \'n\' Sound,,,,"
"2493,Minor Crossmedia,Minor Concepting,Minor Concepting,Minor Concepting,,,,"
"2882,Minor Crossmedia,Minor Concepting,Minor Concepting,Minor Concepting,,,,"
"2680,Minor Crossmedia,Minor Concepting,Minor Concepting,Minor Concepting,,,,"
"2758,Minor Crossmedia,Minor Concepting,Minor Concepting,Minor Multimediaal Reclamebureau,,,,"
"2530,Minor Crossmedia,Minor Concepting,Minor Concepting,,,,,"
"2783,Minor Crossmedia,Minor Concepting,Minor Concepting,,,,,"
"2971,Minor Crossmedia,Minor Concepting,Minor Concepting,,,,,"
"3206,Minor Crossmedia,Minor Concepting,Minor Concepting,,,,,"
"2727,Minor Crossmedia,Minor Concepting,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,,,"
"586,Minor Crossmedia,Minor Concepting,Minor Ondernemen,,,,,"
"3094,Minor Crossmedia,Minor Concepting,Minor Transmedia Storytelling,Minor Concepting,,,,"
"3201,Minor Crossmedia,Minor Concepting,Minor Transmedia Storytelling,Minor Concepting,,,,"
"3209,Minor Crossmedia,Minor Concepting,Minor Transmedia Storytelling,,,,,"
"548,Minor Crossmedia,Minor Concepting,,,,,,"
"2297,Minor Crossmedia,Minor Concepting,,,,,,"
"3192,Minor Crossmedia,Minor Concepting,,,,,,"
"1685,Minor Crossmedia,Minor Crossmedia,Minor 3D,Minor 3D,Minor 3D,,,"
"1425,Minor Crossmedia,Minor Crossmedia,Minor 3D,,,,,"
"2763,Minor Crossmedia,Minor Crossmedia,Minor Art \'n\' Sound,Minor Art \'n\' Sound,Minor Concepting,,,"
"2495,Minor Crossmedia,Minor Crossmedia,Minor Art \'n\' Sound,,,,,"
"2616,Minor Crossmedia,Minor Crossmedia,Minor Concepting,Minor Art \'n\' Sound,Minor Crossmedia,Minor Transmedia Storytelling,,"
"1689,Minor Crossmedia,Minor Crossmedia,Minor Concepting,Minor Concepting,Minor Art \'n\' Sound,Minor Art \'n\' Sound,,"
"2559,Minor Crossmedia,Minor Crossmedia,Minor Concepting,Minor Concepting,Minor Concepting,Minor Concepting,,"
"2107,Minor Crossmedia,Minor Crossmedia,Minor Concepting,Minor Concepting,Minor Crossmedia,,,"
"1431,Minor Crossmedia,Minor Crossmedia,Minor Concepting,Minor Crossmedia,Minor Concepting,Minor Concepting,,"
"2444,Minor Crossmedia,Minor Crossmedia,Minor Concepting,Minor Crossmedia,Minor Crossmedia,,,"
"1587,Minor Crossmedia,Minor Crossmedia,Minor Concepting,,,,,"
"2565,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Concepting,Minor Concepting,Minor Concepting,,"
"2797,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Concepting,Minor Concepting,Minor Concepting,,"
"2729,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Concepting,Minor Concepting,,,"
"1567,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Concepting,,,,"
"2455,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Concepting,,,,"
"2553,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Concepting,,,,"
